sem,zad,page
1,1.1,10
1,1.2,10
1,1.3,10
1,1.4,11
1,1.5,11
1,1.6,0
1,1.7,15
1,1.8,0
1,1.9,12
1,1.10,24
1,1.11,25
1,1.12,0
1,1.13,21
1,1.14,0
1,1.15,21
1,1.16,19
1,1.17,20
1,1.18,22
1,1.19,21
1,1.20,21
1,1.21,23
1,1.22,0
1,1.23,0
1,1.24,0
1,1.25,0
1,1.26,0
1,2.1,33
1,2.2,35
1,2.3,0
1,2.4,35
1,2.5,0
1,2.6,0
1,2.7,37
1,2.8,0
1,2.9,0
1,2.10,36
1,2.11,0
1,2.12,36
1,2.13,38
1,2.14,39
1,2.15,0
1,2.16,40
1,2.17,0
1,2.18,41
1,2.19,41
1,2.20,42
1,2.21,42
1,2.22,43
1,2.23,0
1,2.24,44
1,2.25,49
1,2.26,0
1,2.27,49
1,2.28,0
1,2.29,0
1,2.30,0
1,2.31,30
1,2.32,31
1,2.33,0
1,2.34,0
1,2.35,35
1,2.36,34
1,2.37,35
1,2.38,35
1,2.39,35
1,2.40,0
1,2.41,0
1,2.42,34
1,2.43,45
1,2.44,46
1,2.45,0
1,2.46,46
1,2.47,0
1,2.48,0
1,2.49,0
1,2.50,0
1,2.51,0
1,2.52,0
1,2.53,0
1,2.54,47
1,2.55,47
1,2.56,47
1,2.57,0
1,2.58,0
1,2.59,0
1,2.60,0
1,2.61,0
1,2.62,0
1,2.63,48
1,2.64,48
1,2.65,32
1,2.66,44
1,2.67,0
1,2.68,31
1,2.69,34
1,2.70,31
1,2.71,0
1,2.72,0
1,2.73,0
1,2.74,0
1,2.75,0
1,2.76,0
1,2.77,0
1,2.78,0
1,2.79,0
1,2.80,0
1,2.81,0
1,2.82,0
1,2.83,0
1,2.84,0
1,2.85,0
1,2.86,0
1,2.87,0
1,3.1,51
1,3.2,52
1,3.3,53
1,3.4,53
1,3.5,0
1,3.6,51
1,3.7,51
1,3.8,54
1,3.9,0
1,3.10,0
1,3.11,52
1,3.12,0
1,3.13,0
1,3.14,0
1,3.15,0
1,3.16,0
1,3.17,0
1,3.18,0
1,3.19,0
1,3.20,0
1,3.21,58
1,3.22,0
1,3.23,0
1,3.24,59
1,3.25,61
1,3.26,61
1,3.27,0
1,3.28,0
1,3.29,59
1,3.30,59
1,3.31,60
1,3.32,0
1,3.33,59
1,3.34,0
1,3.35,55
1,3.36,0
1,3.37,56
1,3.38,0
1,3.39,0
1,3.40,0
1,3.41,56
1,3.42,57
1,3.43,58
1,3.44,61
1,3.45,61
1,3.46,0
1,3.47,0
1,3.48,55
1,3.49,57
1,3.50,60
1,3.51,60
1,3.52,0
1,3.53,62
1,3.54,62
1,3.55,0
1,3.56,55
1,3.57,55
1,3.58,0
1,3.59,0
1,3.60,60
1,3.61,58
1,3.62,0
1,3.63,0
1,3.64,0
1,3.65,0
1,3.66,0
1,3.67,0
1,3.68,0
1,3.69,0
1,3.70,0
1,3.71,0
1,3.72,0
1,3.73,0
1,3.74,0
1,3.75,0
1,3.76,0
1,3.77,0
1,3.78,0
1,3.79,0
1,4.1,65
1,4.2,63
1,4.3,63
1,4.4,63
1,4.5,77
1,4.6,77
1,4.7,0
1,4.8,0
1,4.9,77
1,4.10,78
1,4.11,82
1,4.12,0
1,4.13,0
1,4.14,0
1,4.15,78
1,4.16,66
1,4.17,0
1,4.18,65
1,4.19,67
1,4.20,78
1,4.21,0
1,4.22,83
1,4.23,0
1,4.24,0
1,4.25,84
1,4.26,84
1,4.27,0
1,4.28,75
1,4.29,0
1,4.30,69
1,4.31,75
1,4.32,79
1,4.33,0
1,4.34,0
1,4.35,76
1,4.36,72
1,4.37,80
1,4.38,0
1,4.39,0
1,4.40,67
1,4.41,73
1,4.42,0
1,4.43,0
1,4.44,68
1,4.45,65
