sem,zad,page,identifier
1,1.1,10,11.1
1,1.2,10,11.2
1,1.3,10,11.3
1,1.4,11,11.4
1,1.5,11,11.5
1,1.6,0,11.6
1,1.7,15,11.7
1,1.8,0,11.8
1,1.9,12,11.9
1,1.10,24,11.10
1,1.11,25,11.11
1,1.12,0,11.12
1,1.13,21,11.13
1,1.14,0,11.14
1,1.15,21,11.15
1,1.16,19,11.16
1,1.17,20,11.17
1,1.18,22,11.18
1,1.19,21,11.19
1,1.20,21,11.20
1,1.21,23,11.21
1,1.22,0,11.22
1,1.23,0,11.23
1,1.24,0,11.24
1,1.25,0,11.25
1,1.26,0,11.26
1,2.1,33,12.1
1,2.2,35,12.2
1,2.3,0,12.3
1,2.4,35,12.4
1,2.5,0,12.5
1,2.6,0,12.6
1,2.7,37,12.7
1,2.8,0,12.8
1,2.9,0,12.9
1,2.10,36,12.10
1,2.11,0,12.11
1,2.12,36,12.12
1,2.13,38,12.13
1,2.14,39,12.14
1,2.15,0,12.15
1,2.16,40,12.16
1,2.17,0,12.17
1,2.18,41,12.18
1,2.19,41,12.19
1,2.20,42,12.20
1,2.21,42,12.21
1,2.22,43,12.22
1,2.23,0,12.23
1,2.24,44,12.24
1,2.25,49,12.25
1,2.26,0,12.26
1,2.27,49,12.27
1,2.28,0,12.28
1,2.29,0,12.29
1,2.30,0,12.30
1,2.31,30,12.31
1,2.32,31,12.32
1,2.33,0,12.33
1,2.34,0,12.34
1,2.35,35,12.35
1,2.36,34,12.36
1,2.37,35,12.37
1,2.38,35,12.38
1,2.39,35,12.39
1,2.40,0,12.40
1,2.41,0,12.41
1,2.42,34,12.42
1,2.43,45,12.43
1,2.44,46,12.44
1,2.45,0,12.45
1,2.46,46,12.46
1,2.47,0,12.47
1,2.48,0,12.48
1,2.49,0,12.49
1,2.50,0,12.50
1,2.51,0,12.51
1,2.52,0,12.52
1,2.53,0,12.53
1,2.54,47,12.54
1,2.55,47,12.55
1,2.56,47,12.56
1,2.57,0,12.57
1,2.58,0,12.58
1,2.59,0,12.59
1,2.60,0,12.60
1,2.61,0,12.61
1,2.62,0,12.62
1,2.63,48,12.63
1,2.64,48,12.64
1,2.65,32,12.65
1,2.66,44,12.66
1,2.67,0,12.67
1,2.68,31,12.68
1,2.69,34,12.69
1,2.70,31,12.70
1,2.71,0,12.71
1,2.72,0,12.72
1,2.73,0,12.73
1,2.74,0,12.74
1,2.75,0,12.75
1,2.76,0,12.76
1,2.77,0,12.77
1,2.78,0,12.78
1,2.79,0,12.79
1,2.80,0,12.80
1,2.81,0,12.81
1,2.82,0,12.82
1,2.83,0,12.83
1,2.84,0,12.84
1,2.85,0,12.85
1,2.86,0,12.86
1,2.87,0,12.87
1,3.1,51,13.1
1,3.2,52,13.2
1,3.3,53,13.3
1,3.4,53,13.4
1,3.5,0,13.5
1,3.6,51,13.6
1,3.7,51,13.7
1,3.8,54,13.8
1,3.9,0,13.9
1,3.10,0,13.10
1,3.11,52,13.11
1,3.12,0,13.12
1,3.13,0,13.13
1,3.14,0,13.14
1,3.15,0,13.15
1,3.16,0,13.16
1,3.17,0,13.17
1,3.18,0,13.18
1,3.19,0,13.19
1,3.20,0,13.20
1,3.21,58,13.21
1,3.22,0,13.22
1,3.23,0,13.23
1,3.24,59,13.24
1,3.25,61,13.25
1,3.26,61,13.26
1,3.27,0,13.27
1,3.28,0,13.28
1,3.29,59,13.29
1,3.30,59,13.30
1,3.31,60,13.31
1,3.32,0,13.32
1,3.33,59,13.33
1,3.34,0,13.34
1,3.35,55,13.35
1,3.36,0,13.36
1,3.37,56,13.37
1,3.38,0,13.38
1,3.39,0,13.39
1,3.40,0,13.40
1,3.41,56,13.41
1,3.42,57,13.42
1,3.43,58,13.43
1,3.44,61,13.44
1,3.45,61,13.45
1,3.46,0,13.46
1,3.47,0,13.47
1,3.48,55,13.48
1,3.49,57,13.49
1,3.50,60,13.50
1,3.51,60,13.51
1,3.52,0,13.52
1,3.53,62,13.53
1,3.54,62,13.54
1,3.55,0,13.55
1,3.56,55,13.56
1,3.57,55,13.57
1,3.58,0,13.58
1,3.59,0,13.59
1,3.60,60,13.60
1,3.61,58,13.61
1,3.62,0,13.62
1,3.63,0,13.63
1,3.64,0,13.64
1,3.65,0,13.65
1,3.66,0,13.66
1,3.67,0,13.67
1,3.68,0,13.68
